iter	Passed	Remaining
0	1205	1204159
1	2495	1245409
2	3839	1275840
3	4744	1181494
4	6083	1210665
5	7060	1169665
6	8059	1143255
7	9392	1164662
8	10724	1180856
9	12007	1188747
10	13297	1195553
11	14691	1209621
12	15737	1194812
13	17078	1202845
14	18360	1205645
15	19648	1208397
16	21012	1215018
17	21952	1197637
18	23010	1188061
19	24411	1196183
20	25482	1187982
21	26881	1195018
22	27884	1184482
23	29201	1187519
24	30604	1193566
25	31587	1183314
26	33009	1189561
27	34461	1196290
28	35655	1193835
29	37038	1197575
30	38327	1198056
31	39706	1201135
32	41142	1205607
33	42513	1207896
34	43866	1209458
35	45349	1214346
36	46480	1209755
37	47979	1214647
38	49455	1218640
39	50908	1221797
40	52376	1225103
41	53905	1229552
42	55403	1233058
43	56795	1234021
44	57949	1229811
45	59379	1231481
46	60504	1226817
47	61580	1221355
48	63004	1222800
49	64398	1223572
50	65530	1219382
51	66924	1220094
52	68298	1220358
53	69770	1222267
54	71143	1222374
55	72506	1222255
56	73546	1216749
57	74964	1217519
58	76457	1219434
59	77461	1213565
60	78437	1207420
61	79541	1203386
62	81004	1204780
63	82555	1207378
64	83856	1206250
65	84767	1199581
66	85825	1195158
67	87178	1194856
68	88663	1196311
69	90103	1197089
70	91512	1197392
71	92578	1193233
72	93946	1192993
73	95096	1189993
74	96523	1190454
75	97561	1186139
76	98983	1186512
77	100393	1186705
78	101423	1182417
79	102871	1183018
80	104277	1183104
81	105434	1180352
82	106507	1176720
83	107787	1175395
84	109163	1175110
85	110711	1176630
86	111832	1173602
87	113289	1174086
88	114453	1171542
89	115883	1171713
90	116818	1166905
91	117897	1163597
92	118892	1159525
93	120416	1160611
94	121378	1156285
95	122402	1152623
96	123463	1149359
97	124761	1148312
98	125787	1144796
99	127122	1144106
100	128424	1143103
101	129853	1143222
102	131403	1144362
103	132656	1142887
104	133690	1139552
105	134736	1136360
106	135784	1133229
107	137287	1133892
108	138504	1132180
109	139907	1131976
110	141187	1130770
111	142491	1129756
112	143638	1127501
113	144858	1125829
114	146112	1124429
115	147391	1123228
116	148749	1122611
117	149649	1118568
118	150999	1117905
119	152003	1114692
120	153039	1111747
121	154190	1109668
122	155202	1106603
123	156119	1102911
124	157570	1102995
125	159077	1103441
126	160243	1101513
127	161239	1098447
128	162568	1097655
129	163750	1095871
130	165201	1095875
131	166204	1092919
132	167487	1091817
133	168401	1088327
134	169298	1084761
135	170770	1084892
136	171987	1083397
137	173235	1082092
138	174180	1078915
139	175163	1076002
140	176115	1072928
141	177041	1069728
142	178603	1070371
143	179990	1069942
144	181440	1069871
145	182832	1069443
146	183759	1066304
147	184778	1063724
148	185947	1062019
149	187146	1060496
150	187982	1056933
151	189363	1056446
152	190741	1055934
153	192001	1054763
154	193027	1052310
155	194524	1052426
156	195748	1051057
157	196660	1048025
158	197751	1045969
159	198751	1043445
160	200009	1042286
161	201836	1044066
162	203196	1043406
163	204396	1041923
164	205567	1040296
165	206961	1039796
166	208191	1038465
167	209527	1037657
168	210756	1036323
169	211801	1034088
170	213227	1033718
171	214149	1030905
172	215049	1028012
173	215935	1025071
174	217444	1025097
175	218697	1023899
176	219606	1021107
177	220864	1019949
178	221911	1017819
179	222801	1014983
180	224139	1014201
181	225394	1013039
182	226415	1010825
183	227331	1008165
184	228563	1006915
185	229643	1004998
186	230795	1003405
187	232155	1002713
188	233551	1002169
189	234388	999234
190	235573	997794
191	236773	996420
192	237902	994753
193	239300	994207
194	240826	994180
195	242417	994408
196	243349	991928
197	244168	989006
198	245581	988498
199	246763	987054
200	247794	985012
201	248678	982403
202	249719	980424
203	251154	979995
204	252329	978545
205	253934	978756
206	255453	978622
207	256700	977438
208	257522	974641
209	258828	973686
210	259785	971424
211	261068	970385
212	262528	969998
213	264043	969805
214	264847	967003
215	266256	966414
216	267322	964580
217	268452	962981
218	269828	962265
219	271279	961809
