Dataset,Feature,Type
OpenAQ,timestamp,Selected
OpenAQ,h3_index_res8,Selected
OpenAQ,pm25_ugm3_mean,Selected
OpenAQ,pm25_ugm3_min,Selected
OpenAQ,pm25_ugm3_max,Selected
OpenAQ,pm25_ugm3_count,Selected
OpenAQ,h3_lat_res8,Selected
OpenAQ,h3_lon_res8,Selected
OpenMeteo,temperature_c_mean,Selected
OpenMeteo,humidity_pct_mean,Selected
OpenMeteo,precipitation_mm_mean,Selected
OpenMeteo,pressure_hpa_mean,Selected
OpenMeteo,cloud_cover_pct_mean,Selected
OpenMeteo,dew_point_c_mean,Selected
OpenMeteo,solar_radiation_wm2_mean,Selected
JARTIC,avg_traffic_volume,Selected
JARTIC,max_traffic_volume,Selected
JARTIC,avg_speed_kmh,Selected
JARTIC,congestion_index,Selected
JARTIC,unique_links,Selected
JARTIC,measurement_count,Selected
