iter	RMSE
0	5.723796564
1	5.668455929
2	5.618575742
3	5.571418526
4	5.527155793
5	5.486051544
6	5.447554334
7	5.411512393
8	5.378828757
9	5.349209576
10	5.321707943
11	5.294316606
12	5.26944094
13	5.245423424
14	5.224203828
15	5.204050022
16	5.184437969
17	5.166593475
18	5.150148713
19	5.134842469
20	5.118976852
21	5.104783561
22	5.0913216
23	5.076441027
24	5.064549399
25	5.05387253
26	5.0442594
27	5.032121218
28	5.021218433
29	5.012158157
30	5.003975551
31	4.992327767
32	4.98480467
33	4.975052689
34	4.965227814
35	4.955628078
36	4.948280658
37	4.939124023
38	4.93225435
39	4.924383116
40	4.917946907
41	4.909666935
42	4.903109577
43	4.898061613
44	4.89168001
45	4.883486041
46	4.877184062
47	4.872466293
48	4.868794866
49	4.864173565
50	4.860396039
51	4.854354371
52	4.850347164
53	4.845563801
54	4.841941282
55	4.835767108
56	4.832293919
57	4.827619778
58	4.824343169
59	4.821259408
60	4.818262179
61	4.815460983
62	4.810987394
63	4.803183275
64	4.800632334
65	4.798433479
66	4.79492944
67	4.791436104
68	4.78731734
69	4.782739015
70	4.780120571
71	4.778293018
72	4.775714668
73	4.769570555
74	4.766485267
75	4.764796384
76	4.762279928
77	4.760173187
78	4.75775119
79	4.754967423
80	4.753282588
81	4.747498982
82	4.745630001
83	4.743975803
84	4.741862844
85	4.735735571
86	4.731547133
87	4.725665271
88	4.724176452
89	4.722524957
90	4.720273808
91	4.717627617
92	4.713800435
93	4.712195678
94	4.710575176
95	4.709266808
96	4.705330793
97	4.703736798
98	4.701306122
99	4.69965804
100	4.69672981
101	4.695453993
102	4.691627289
103	4.690284796
104	4.688213972
105	4.686754806
106	4.683225653
107	4.68032731
108	4.679525077
109	4.676728972
110	4.67366319
111	4.67153682
112	4.669936491
113	4.668705621
114	4.666098817
115	4.665221589
116	4.663972458
117	4.662833852
118	4.661303471
119	4.659295287
120	4.656860402
121	4.655440208
122	4.653514926
123	4.651468334
124	4.64834042
125	4.644720914
126	4.642487236
